post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Category,attribute_data:Category,attribute:Color,attribute_data:Color,attribute:Hand,attribute_data:Hand,"attribute:Hub Color","attribute_data:Hub Color","attribute:Insert Width","attribute_data:Insert Width",attribute:Length,attribute_data:Length,attribute:Model,attribute_data:Model,"attribute:Product Width","attribute_data:Product Width","attribute:Product width","attribute_data:Product width",attribute:Seal,attribute_data:Seal,"attribute:Select Hand","attribute_data:Select Hand",attribute:Side,attribute_data:Side,attribute:Size,attribute_data:Size,"attribute:Spoke Color","attribute_data:Spoke Color","attribute:Spoke Size","attribute_data:Spoke Size","attribute:Spokes Color","attribute_data:Spokes Color",attribute:Stages,attribute_data:Stages,attribute:Type,attribute_data:Type,attribute:Usage,attribute_data:Usage,"attribute:Wheel Size","attribute_data:Wheel Size",attribute:Width,attribute_data:Width,attribute:bearing-spacer,attribute_data:bearing-spacer,attribute:color,attribute_data:color,attribute:lenght,attribute_data:lenght,attribute:length,attribute_data:length,attribute:pa_clabel-type,attribute_data:pa_clabel-type,attribute:pa_color,attribute_data:pa_color,attribute:pa_product-type,attribute_data:pa_product-type,attribute:pa_product-width,attribute_data:pa_product-width,attribute:pa_spokes-color,attribute_data:pa_spokes-color,attribute:pa_spokes-color-1,attribute_data:pa_spokes-color-1,attribute:pa_wheel-size,attribute_data:pa_wheel-size,attribute:pa_width,attribute_data:pa_width,attribute:side,attribute_data:side,attribute:size,attribute_data:size,attribute:spokes-color,attribute_data:spokes-color,attribute:thickness,attribute_data:thickness,attribute:type,attribute_data:type,attribute:wheel-size,attribute_data:wheel-size,attribute:width,attribute_data:width
"25"" SoftWheel Aluminium 2.75",25-softwheel-aluminium-2-75,,1150,"SoftWheel's innovative suspension system transforms a rider's wheelchair experience.<br><p>Price per pair of wheels</p>",,publish,,0,"2023-12-18 15:19:24",1,open,4WH520,,,no,no,,2375.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/softwheel-round.jpg ! alt :  ! title : softwheel-round.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/25-softwheel-aluminium-2-75/,0,,,,,,,,,,,,simple,,"Wheels > 25'' (559)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy Duty|Regular Duty|Light Duty",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24"" SoftWheel Aluminium 2.75",24-softwheel-aluminium-2-75,,1154,"SoftWheel's innovative suspension system transforms a rider's wheelchair experience.<br><p>Price per pair of wheel</p>",,publish,,0,"2023-12-18 15:19:47",1,open,4WH510,,,no,no,,2375.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/softwheel-round.jpg ! alt :  ! title : softwheel-round.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/24-softwheel-aluminium-2-75/,0,,,,,,,,,,,,simple,,"Wheels > 24'' (540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy Duty|Regular Duty|Light Duty",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"700x1 Rim Tape (yellow)",700x1-rim-tape-yellow,,1780,,,publish,,0,"2023-12-21 04:34:34",1,open,2RT192505,,,no,no,,7.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/noimage.gif ! alt :  ! title : noimage.gif ! desc :  ! caption : ",,https://49b.pfcd.ca/product/700x1-rim-tape-yellow/,0,,,,,,,,,,,,simple,,"Rim Tape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rim Tape Roll 50mm Fabric (blue)",rim-tape-roll-50mm-fabric-blue,,1781,,,publish,,0,"2023-12-21 04:34:34",1,open,2RT100,,,no,no,,35.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2023/12/2RT100.jpg ! alt :  ! title : 2RT100.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/rim-tape-roll-50mm-fabric-blue/,0,,,,,,,,,,,,simple,,"Rim Tape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenda Floor Pump",kenda-floor-pump,,244824,,,publish,,0,"2024-01-29 06:18:45",0,closed,1PU000,,,no,no,,60.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1PU000.jpg ! alt :  ! title : 1PU000.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/kenda-floor-pump/,0,,,,,,,,,,,,simple,,Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenda Mini Pump",kenda-mini-pump,,244826,,,publish,,0,"2024-01-29 06:18:46",0,closed,1PU100,,,no,no,,35.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1PU100.jpg ! alt :  ! title : 1PU100.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/kenda-mini-pump/,0,,,,,,,,,,,,simple,,Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quick Release Axle 1/2'' 130mm (Black Dome Cap)",quick-release-axle-1-2-130mm-black-dome-cap,,244828,,,publish,,0,"2024-01-29 06:18:47",0,closed,2QR042,,,no,no,,50.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2QR042.jpg ! alt :  ! title : 2QR042.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/quick-release-axle-1-2-130mm-black-dome-cap/,0,,,,,,,,,,,,simple,,Axles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quick Release Axle 1/2'' Quad Release Nut (only)",quick-release-axle-1-2-quad-release-nut-only,,244830,,,publish,,0,"2024-01-29 06:18:48",0,closed,2QR500&#9;,,,no,no,,30.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2QR500.jpg ! alt :  ! title : 2QR500.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/quick-release-axle-1-2-quad-release-nut-only/,0,,,,,,,,,,,,simple,,Axles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mini Quick Release Axel in Stainless Steel",mini-quick-release-axel-in-stainless-steel,,244832,,,publish,,0,"2024-01-29 06:18:49",0,closed,2QR600,,,no,no,,25.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2QR600.jpg ! alt :  ! title : 2QR600.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/mini-quick-release-axel-in-stainless-steel/,0,,,,,,,,,,,,simple,,Axles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenda Double Wheel Bag",kenda-double-wheel-bag,,244835,,,publish,,0,"2024-01-29 06:18:50",0,closed,1WB012,,,no,no,,110.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1WB012.jpg ! alt :  ! title : 1WB012.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/kenda-double-wheel-bag/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spinergy Double Wheel Bag",spinergy-double-wheel-bag,,244837,,,publish,,0,"2024-01-29 06:18:51",0,closed,1WB022,,,no,no,,150.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1WB022.jpg ! alt :  ! title : 1WB022.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/spinergy-double-wheel-bag/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RGK Triple Wheel Bag",rgk-triple-wheel-bag,,244839,,,publish,,0,"2024-01-29 06:18:52",0,closed,1WB220,,,no,no,,238.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1WB220.jpg ! alt :  ! title : 1WB220.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/rgk-triple-wheel-bag/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RGK Back Pack",rgk-back-pack,,244841,,,publish,,0,"2024-01-29 06:18:53",0,closed,1WB350,,,no,no,,99.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/1WB350.jpg ! alt :  ! title : 1WB350.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/rgk-back-pack/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quickie Back Pack",quickie-back-pack,,244843,,,publish,,0,"2024-01-29 06:18:54",0,closed,1WB351,,,no,no,,90.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/noimage4.gif ! alt :  ! title : noimage4.gif ! desc :  ! caption : ",,https://49b.pfcd.ca/product/quickie-back-pack/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Box Underseat Bag Large",black-box-underseat-bag-large,,244845,,,publish,,0,"2024-01-29 06:18:55",0,closed,2UA600,,,no,no,,102.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2UA600.jpg ! alt :  ! title : 2UA600.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/black-box-underseat-bag-large/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RGK Seat Pouch - Black With Velcro Attach",rgk-seat-pouch-black-with-velcro-attach,,244847,,,publish,,0,"2024-01-29 06:18:55",0,closed,6UA060,,,no,no,,75.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/6UA060.jpg ! alt :  ! title : 6UA060.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/rgk-seat-pouch-black-with-velcro-attach/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Underseat Storage Net",underseat-storage-net,,244849,,,publish,,0,"2024-01-29 06:18:56",0,closed,6UA070,,,no,no,,70.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/noimage7.gif ! alt :  ! title : noimage7.gif ! desc :  ! caption : ",,https://49b.pfcd.ca/product/underseat-storage-net/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batec Bossa Rucksack",batec-bossa-rucksack,,244851,,,publish,,0,"2024-01-29 06:18:57",0,closed,B54.05.01,,,no,no,,88.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/B54.05.01.jpg ! alt :  ! title : B54.05.01.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/batec-bossa-rucksack/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batec Wheels Bag",batec-wheels-bag,,244853,,,publish,,0,"2024-01-29 06:18:58",0,closed,B54.05.03,,,no,no,,176.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/B54.05.03.jpg ! alt :  ! title : B54.05.03.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/batec-wheels-bag/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49 Bespoke Seat Pouch - Black With Velcro Attach",49-bespoke-seat-pouch-black-with-velcro-attach,,244855,,,publish,,0,"2024-01-29 06:18:59",0,closed,6UA040,,,no,no,,110.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/noimage7.gif ! alt :  ! title : noimage7.gif ! desc :  ! caption : ",,https://49b.pfcd.ca/product/49-bespoke-seat-pouch-black-with-velcro-attach/,0,,,,,,,,,,,,simple,,Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plastic M6 Lock Knob Male 12mm",plastic-m6-lock-knob-male-12mm,,244857,,,publish,,0,"2024-01-29 08:47:11",1,closed,2FA185,,,no,no,,4.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2FA185.jpg ! alt :  ! title : 2FA185.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/plastic-m6-lock-knob-male-12mm/,0,,,,,,,,,,,,simple,,Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plastic 3/4 Insert Flat",plastic-3-4-insert-flat,,244859,,,publish,,0,"2024-01-29 08:47:12",1,closed,2FA200,,,no,no,,2.000000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://49b.pfcd.ca/wp-content/uploads/2024/01/2FA200.jpg_product ! alt :  ! title : 2FA200.jpg ! desc :  ! caption : ",,https://49b.pfcd.ca/product/plastic-3-4-insert-flat/,0,,,,,,,,,,,,simple,,Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
