Item ID/ SKU,Item name,Category,Sub Category,Price,In stock?,Status,Image Name,,
K212070,K1046 Karrumba 20x1.95 (50-406),Tires,20'' (406),22.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212070.png,,
SNA11100113,HS399 Durano 20x1.10 (28-406),Tires,20'' (406),55.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100113.png,,
SNA11100134.02,HS331 Jumpin Jack 20x2.10 (54-406),Tires,20'' (406),35.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100134.02.png,,
2TY012,C1157 V-Monster 20x2.10 (52-406),Tires,20'' (406),35.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY012.png,,
SNA11100758,HS440 Marathon Plus Reflex 20x1.75 (47-406),Tires,20'' (406),75.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100758.png,,
B71.01.05,Creepy Crawler 20x2.0 (54-406),Tires,20'' (406),44.00,1,In stock,/wp-content/uploads/woocommerce_uploadsB71.01.05.png,,
SNA11653962,Performance - Black Folding 20x1.10 (28-406),Tires,20'' (406),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11653962.png,,
SNA11653951,Pro One 20x1.10 (28-406) Microskin TLE - Black Folding,Tires,20'' (406),110.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11653951.png,,
K212949,K1129 Kwick Journey 20x1.75(45-406) - Black,Tires,20'' (406),56.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212949.png,,
SNA11100063,HS385 Kojak 35-406 (20 x 1.35) - Black,Tires,20'' (406),45.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100063.png,,
2TY010,C1131 Dirt Monster 20x1.95(406) - Black,Tires,20'' (406),35.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY010.png,,
SNA11116448.02,Marathon Winter HS396 Reflex - Black 20x1.60(42-406),Tires,20'' (406),102.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11116448.02.png,,
SNA11159243,20 x 2.15 (55-406) Marathon GT 365 Black Reflex,Tires,20'' (406),56.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11159243.png,,
K25200119650,K196 Kontender 20x1.0 (23-451),Tires,20'' (451),40.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25200119650.png,,
SNA10273328.01,HS387 Right Run 20x1.0 (25-451),Tires,20'' (451),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10273328.01.png,,
SNA11121351,HS350 Stelvio 20x1.125 (28-451),Tires,20'' (451),39.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11121351.png,,
K25202014314,K143 Street 20x1.375 (37-451),Tires,20'' (451),15.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25202014314.png,,
2TY0063AAB,Aeroflex 20x1.375 (451),Tires,20'' (451),40.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY0063AAB.png,,
SNA10275387,HS387 Right Run 22x1.0 (25-489),Tires,22'' (489),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10275387.png,,
SNA10275440,HS440 Marathon Plus Evolution Reflex 22x1.0 (25-489),Tires,22'' (489),75.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10275440.png,,
SNA11600685,HS464 Durano - Black 24x0.90 (23-520),Tires,24'' (520),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600685.png,,
K25247006217,K62 Street 24x1.25 (37-547),Tires,25'' (559),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25247006217.png,,
K2525105185,K1051 Konstrictor 25x1.0 (23-559),Tires,25'' (559),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2525105185.png,,
K25250110411,K1044 Kool Bullet 25x1.0 (25-559),Tires,25'' (559),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25250110411.png,,
SNA10231353.01,HS343 SpeedAir 25x0.75 (20-559),Tires,25'' (559),71.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10231353.01.png,,
SNA10283687,HS387 Right Run 25x1.0 (23-559),Tires,25'' (559),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10283687.png,,
SNA10231349,HS349 Quick Slick 25x1.0 (25-559),Tires,25'' (559),23.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10231349.png,,
SNA10231644,HS344 Home Run 25x1.0 (25-559),Tires,25'' (559),28.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10231644.png,,
SNA11600686,HS464 Durano 25x1.10 (28-559),Tires,25'' (559),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600686.png,,
SNA11641408,HS408 Airborne 25x1.2 (30-559),Tires,25'' (559),106.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11641408.png,,
2TY056,C1195 Passage 25x1.0 (25-559),Tires,25'' (559),60.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY056.png,,
2TY057,C1836 Sentinel 25x1.0 (25-559),Tires,25'' (559),60.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY057.png,,
2TY130,C1191 Silver Bullet 25x1.0 (25-559),Tires,25'' (559),60.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY130.png,,
2TY645,MS3 25 (25-559),Tires,25'' (559),125.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY645.png,,
SNA11100760,HS440 Marathon Plus Reflex 26x1.35 (35-559),Tires,25'' (559),99.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100760.png,,
SNA11100599.01,HS396 Marathon Winter Reflex - Stud 26x1.75 (47-559),Tires,25'' (559),75.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100599.01.png,,
K25251224171,K1224 Paradigm 25x1 (25-559) - Black,Tires,25'' (559),65.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25251224171.png,,
K01265381614,K816 Smoke 26x2.10 (54-559) - Gy,Tires,25'' (559),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK01265381614.png,,
SNA10159012,HS387 Right Run 25x1 (28-559) - Grey/Black,Tires,25'' (559),35.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10159012.png,,
K25262080314,K803A All Terrain 26x1.375 (37-559),Tires,25'' (559),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25262080314.png,,
K25260219781,K197 EuroTrek 26x1.95 (50-559),Tires,25'' (559),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25260219781.png,,
K212335,K905 K-Rad 26x1.95 (50-559),Tires,25'' (559),40.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212335.png,,
K212907,K1150 Nevegal X Pro 26x2.10 (52-559),Tires,25'' (559),65.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212907.png,,
K212340,K917 Karma Pro 26x2.10 (54-559),Tires,25'' (559),65.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212340.png,,
K212369,K1059 ExcavatorPro 26x1.95 (50-559),Tires,25'' (559),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212369.png,,
SNA11100185.01,HS269 CX Pro 26x1.35 (35-559),Tires,25'' (559),42.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100185.01.png,,
SNA11600063.01,HS376 Insider 26x1.35 (35-559),Tires,25'' (559),60.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600063.01.png,,
SNA11101033,HS450 Land Cruiser 26x1.75 (47-559),Tires,25'' (559),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11101033.png,,
SNA11600177.02,HS469 Marathon Supreme 26x2.0 (50-559),Tires,25'' (559),120.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600177.02.png,,
SNA11600715,HS466 Jumbo Jim 26x4.0 (100-559),Tires,25'' (559),150.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600715.png,,
2TY0089AAE,Aeroflex 25x1.375 (559),Tires,25'' (559),40.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY0089AAE.png,,
4WH630,22'' Wire,Tires,22'' (501),150.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH630.png,,
LXL22.18.111,22'' Spinergy Extra Light Extreme,Tires,25'' (559),510.00,1,In stock,/wp-content/uploads/woocommerce_uploadsLXL22.18.111.png,,
SNA11100144,Marathon Reflex 25x1.35 (32-559) - Black,Tires,25'' (559),75.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100144.png,,
K2590074,K196 Kontender Black - White sidewall 25x1,Tires,25'' (559),40.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2590074.png,,
4WH062,CR20 Cross Spokes – Black,Tires,25'' (559),272.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH062.png,,
K25241223171,25x1 (25-559) Hexon K1223 – Black,Tires,25'' (559),50.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25241223171.png,,
4WH154,28'' CR20 - Cross Spokes,Tires,28'' (622),195.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH154.png,,
4WH465,700c Equalizer,Tires,700c,245.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH465.png,,
4WH148,24'' CR20 - Cross Spokes,Tires,24'' (540),195.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH148.png,,
4WH150,25'' CR20 - Cross Spokes,Tires,25'' (559),195.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH150.png,,
4WH155,24'' CR20 Black 36S-3X,Tires,24'' (540),325.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH155.png,,
4WH156,25'' CR20 Black 36S-3X,Tires,25'' (559),325.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH156.png,,
4WH450,24'' Equalizer,Tires,24'' (540),245.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH450.png,,
4WH455,25'' Equalizer,Tires,25'' (559),245.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH455.png,,
4WH210,24'' Zero G,Tires,24'' (540),160.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH210.png,,
4WH220,25'' Zero G,Tires,25'' (559),160.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH220.png,,
4WH250,24'' Cyclone Aluminum,Tires,24'' (540),625.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH250.png,,
4WH253,24'' Phoenix Aluminum,Tires,24'' (540),625.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH253.png,,
4WH260,25'' Cyclone Aluminum,Tires,25'' (559),625.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH260.png,,
4WH263,25'' Phoenix Aluminum,Tires,25'' (559),625.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH263.png,,
4WH430,24'' Twin Star,Tires,24'' (540),640.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH430.png,,
4WH431,25'' Twin Star,Tires,25'' (559),640.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH431.png,,
4WH575,24'' X-Core Mag 5,Tires,24'' (540),115.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH575.png,,
4WH635,24'' Wire,Tires,24'' (540),150.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH635.png,,
4WH580,"24"" X-CoreTM 3-Spoke Carbon Fiber- Black",Tires,24'' (540),585.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH580.png,,
4WH885-LWC,540 Loopwheel Carbon,Tires,24'' (540),"2,768.00",1,In stock,/wp-content/uploads/woocommerce_uploads4WH885-LWC.png,,
4WH886-LWC,559 Loopwheel Carbon,Tires,25'' (559),"2,768.00",1,In stock,/wp-content/uploads/woocommerce_uploads4WH886-LWC.png,,
4WH152,26'' CR20 - Cross Spokes,Tires,26'' (590),195.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH152.png,,
4WH157,26'' CR20 Black 36S-3X,Tires,26'' (590),325.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH157.png,,
4WH460,26'' Equalizer,Tires,26'' (590),245.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH460.png,,
4WH645,26'' Wire,Tires,26'' (590),150.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH645.png,,
4WH640,25'' Wire,Tires,25'' (559),150.00,1,In stock,/wp-content/uploads/woocommerce_uploads4WH640.png,,
2TY0074AAA,Aeroflex 22x1.375 (501),Tires,22'' (501),40.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY0074AAA.png,,https://49b.pfcd.ca/product/aeroflex-22x1-375-501/
K25470120603,K470 Slick 6P TT - Black 12.5x2.25(203),Tires,22'' (501),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25470120603.png,,https://49b.pfcd.ca/product/k470-slick-6p-tt-black-12-5x2-25203/
K254692508B0,K469 Traction 4P TT - Grey 12.5x2.25(203),Wheels,12.5x2.25 (203),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK254692508B0.png,,https://49b.pfcd.ca/product/k469-traction-4p-tt-grey-12-5x2-25203/
K2512124000,K124 Street- Grey 12.5x2.25(203),Wheels,12.5x2.25 (203),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2512124000.png,,https://49b.pfcd.ca/product/k124-street-grey-12-5x2-25203/
K01126005001,K50 Knobby - Black 12.5x2.25(203),Wheels,12.5x2.25 (203),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK01126005001.png,,https://49b.pfcd.ca/product/k50-knobby-black-12-5x2-25203/
K01126090901,K909 Slick - Black 12.5x2.25(203),Wheels,12.5x2.25 (203),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK01126090901.png,,https://49b.pfcd.ca/product/k909-slick-black-12-5x2-25203/
SNA11100495,HS420 Marathon Plus Evolution 700x23c (23-622),Tires,28'' (622),57.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100495.png,,https://49b.pfcd.ca/product/hs420-marathon-plus-evolution-700x23c-23-622/
SNA11600036.01,HS380 Ultremo ZX 700x25 (25-622),Tires,28'' (622),81.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600036.01.png,,https://49b.pfcd.ca/product/hs380-ultremo-zx-700x25-25-622/
SNA11600172.01,HS399 Durano 700x25c (25-622),Tires,28'' (622),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11600172.01.png,,https://49b.pfcd.ca/product/hs399-durano-700x25c-25-622/
2TY635,MS3 28 (25-622),Tires,28'' (622),125.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY635.png,,https://49b.pfcd.ca/product/ms3-28-25-622/
2TY750,IRC Exeracer Pro Tires 28x1 (622) - Red,Tires,28'' (622),120.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY750.png,,https://49b.pfcd.ca/product/irc-exeracer-pro-tires-28x1-622-red/
SNA10285353.01,HS343 SpeedAir 26x0.75 (20-590),Tires,26'' (590),71.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10285353.01.png,,https://49b.pfcd.ca/product/hs343-speedair-26x0-75-20-590/
SNA10284440,HS440 Marathon Plus Evolution 26x1.0 (25-590),Tires,26'' (590),75.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10284440.png,,https://49b.pfcd.ca/product/hs440-marathon-plus-evolution-26x1-0-25-590/
SNA10285387.01,HS387 Right Run 26x1.0 (25-590),Tires,26'' (590),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10285387.01.png,,https://49b.pfcd.ca/product/hs387-right-run-26x1-0-25-590/
SNA11140602.01,HS392 Delta Cruiser 26x1.375 (37-590),Tires,26'' (590),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11140602.01.png,,https://49b.pfcd.ca/product/hs392-delta-cruiser-26x1-375-37-590/
K2526105182,K1051 Konstrictor 26x1.0 (23-590),Tires,26'' (590),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2526105182.png,,https://49b.pfcd.ca/product/k1051-konstrictor-26x1-0-23-590/
K25260219212,K192 Kourier 26x1.375 (37-590),Tires,26'' (590),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25260219212.png,,https://49b.pfcd.ca/product/k192-kourier-26x1-375-37-590/
K25260219756,K197 EuroTrek 26x1.375 (37-590),Tires,26'' (590),35.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25260219756.png,,https://49b.pfcd.ca/product/k197-eurotrek-26x1-375-37-590/
K2526210300,K103 Street 26x1.375 (37-590),Tires,26'' (590),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2526210300,,https://49b.pfcd.ca/product/k103-street-26x1-375-37-590/
2TY061,C1836 Sentinel 26x1.0 (25-590),Tires,26'' (590),60.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY061.png,,https://49b.pfcd.ca/product/c1836-sentinel-26x1-0-25-590/
2TY370,C1034 Vantage 26x1.375 (37-590),Tires,26'' (590),50.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY370.png,,https://49b.pfcd.ca/product/c1034-vantage-26x1-375-37-590/
2TY601AAQ,Shox G2 All Terrain 26x1.0 (590),Tires,26'' (590),40.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY601AAQ.png,,https://49b.pfcd.ca/product/shox-g2-all-terrain-26x1-0-590/
2TY640,"MS3 26"" Tufo Tubular Tires (25-590) - Blue",Tires,26'' (590),125.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY640.png,,https://49b.pfcd.ca/product/ms3-26-tufo-tubular-tires-25-590-blue/
2TY0089AAD,Aeroflex 26x1.375 (590),Tires,26'' (590),40.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY0089AAD.png,,https://49b.pfcd.ca/product/aeroflex-26x1-375-590/
SNA10285391,26x1 Right Run Black'n'Roll (25-590) - Black,Tires,26'' (590),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10285391.png,,https://49b.pfcd.ca/product/26x1-right-run-blacknroll-25-590-black/
K25261224172,K1224 Paradigm 26x1 (25-590) - Black,Tires,26'' (590),65.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25261224172.png,,https://49b.pfcd.ca/product/k1224-paradigm-26x1-25-590-black/
2TY749,IRC Exeracer Pro Tires 26x1 (590) - Red,Tires,26'' (590),120.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY749.png,,https://49b.pfcd.ca/product/irc-exeracer-pro-tires-26x1-590-red/
K25241223172,26x1 (25-590) Hexon K1223 -Black,Tires,26'' (590),50.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25241223172.png,,https://49b.pfcd.ca/product/26x1-25-590-hexon-k1223-black/
K2590075,K196 Kontender Black - White sidewall 26x1,Tires,26'' (590),40.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2590075.png,,https://49b.pfcd.ca/product/k196-kontender-black-white-sidewall-26x1/
SNA11125407.01,HS407 Black Jack 24x1.90 (47-507),Tires,24'' (507),25.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11125407.01.png,,https://49b.pfcd.ca/product/hs407-black-jack-24x1-90-47-507/
SNA11101031,HS450 Land Cruiser 24x2.0 (50-507),Tires,24'' (507),30.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11101031.png,,https://49b.pfcd.ca/product/hs450-land-cruiser-24x2-0-50-507/
SNA11100302,HS430 Big Apple 24x2.0 (50-507),Tires,24'' (507),51.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11100302.png,,https://49b.pfcd.ca/product/hs430-big-apple-24x2-0-50-507/
K212482,K1079 Konversion 24x1.50 (40-507),Tires,24'' (507),35.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212482.png,,https://49b.pfcd.ca/product/k1079-konversion-24x1-50-40-507/
K25244512314,K123 Street 24x1.75 (47-507),Tires,24'' (507),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK25244512314.png,,https://49b.pfcd.ca/product/k123-street-24x1-75-47-507/
K2590058,K935 Khan 24x1.75 (47-507),Tires,24'' (507),20.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2590058.png,,https://49b.pfcd.ca/product/k935-khan-24x1-75-47-507/
K2590040,K50 24x2.125 (57-507),Tires,24'' (507),15.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK2590040.png,,https://49b.pfcd.ca/product/k50-24x2-125-57-507/
K212477,K905 K-Rad 24x2.125 (54-507),Tires,24'' (507),35.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212477.png,,https://49b.pfcd.ca/product/k905-k-rad-24x2-125-54-507/
2TY380,Cheng Shin 24x1.95 (50-507),Tires,24'' (507),42.00,1,In stock,/wp-content/uploads/woocommerce_uploads2TY380.png,,https://49b.pfcd.ca/product/cheng-shin-24x1-95-50-507/
K212725,K1047 Small Block Eight 24x1.95 (50-507),Tires,24'' (507),65.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK212725.png,,https://49b.pfcd.ca/product/k1047-small-block-eight-24x1-95-50-507/
K214225,24x2.0 (50-507) Kwick Drumlin K1216E Black,Tires,24'' (507),56.00,1,In stock,/wp-content/uploads/woocommerce_uploadsK214225.png,,https://49b.pfcd.ca/product/24x2-0-50-507-kwick-drumlin-k1216e-black/
SNA11125444.02,HS396 Marathon Winter Plus Stud Black Reflex 24x1.75(47-507),Tires,24'' (507),95.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11125444.02.png,,https://49b.pfcd.ca/product/hs396-marathon-winter-plus-stud-black-reflex-24x1-7547-507/
SNA11653980,HS448 Schwalbe One 650x23c (23-571),Tires,26'' (571),110.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA11653980.png,,https://49b.pfcd.ca/product/hs448-schwalbe-one-650x23c-23-571/
SNA10630005,HS390 SpeedRun - Grey/Black 24x0.90 (23-540),Tires,24'' (540),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10630005.png,,https://49b.pfcd.ca/product/hs390-speedrun-grey-black-24x0-90-23-540/
SNA10282397.02,HS387 Right Run Plus 24x1.0 (25-540),Tires,24'' (540),70.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10282397.02.png,,https://49b.pfcd.ca/product/hs387-right-run-plus-24x1-0-25-540/
SNA10282540,HS440 Marathon Plus - Grey 24x1.0 (25-540),Tires,24'' (540),71.00,1,In stock,/wp-content/uploads/woocommerce_uploadsSNA10282540.png,,https://49b.pfcd.ca/product/hs440-marathon-plus-grey-24x1-0-25-540/
